Kline open time,Open price,High price,Low price,Close price,Volume,Kline close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
1581393600000,9749.25,9796.04,9729.36,9749.61,16482.482,1581407999999,160912251.76695,30025,8238.171,80433465.29187,0
1581408000000,9749.61,9823.00,9742.22,9812.27,17343.489,1581422399999,169832332.50226,30917,9265.168,90726691.08679,0
1581422400000,9810.58,10240.00,9799.88,10204.39,58016.492,1581436799999,580055713.39911,120699,32023.005,320233901.15333,0
1581436800000,10204.89,10409.96,10204.38,10287.46,52346.922,1581451199999,538231629.57413,116011,27425.941,282032482.50250,0
1581451200000,10287.45,10300.00,10201.75,10229.06,16597.012,1581465599999,169960881.44573,34614,8366.485,85674461.15793,0
1581465600000,10230.74,10340.04,10229.71,10279.36,25458.441,1581479999999,262024521.91932,49095,13305.417,136954111.18905,0
1581480000000,10279.36,10479.98,10269.93,10372.19,33349.789,1581494399999,345108598.57796,70201,17222.565,178274101.81192,0
1581494400000,10371.76,10387.66,10235.52,10363.00,32234.992,1581508799999,332514888.70366,69300,15937.404,164415219.52313,0
1581508800000,10361.77,10437.00,10259.64,10328.93,32675.470,1581523199999,338173723.27583,72108,15750.887,163052041.59761,0
1581523200000,10328.97,10390.00,10311.91,10327.48,15792.888,1581537599999,163510397.60616,31574,7993.037,82759055.75536,0
1581537600000,10328.07,10432.00,10317.26,10339.99,20162.678,1581551999999,209168718.15571,44337,10529.614,109259769.85884,0
1581552000000,10339.64,10456.91,10327.18,10395.56,19215.291,1581566399999,199883068.43112,35432,9823.997,102203291.20718,0
1581566400000,10395.29,10512.55,10333.86,10347.67,28750.560,1581580799999,299890807.84478,60550,13764.937,143636757.78402,0
1581580800000,10347.64,10380.00,10101.00,10165.03,58421.368,1581595199999,596292230.65850,117527,26216.804,267576406.26196,0
1581595200000,10165.04,10540.00,10121.06,10264.46,67476.633,1581609599999,695150411.34217,156001,34029.096,350758448.88781,0
1581609600000,10264.86,10300.36,10155.00,10263.91,27246.332,1581623999999,278600431.76777,59817,12313.382,125949896.48131,0
1581624000000,10263.00,10275.00,10200.00,10239.63,11942.533,1581638399999,122218023.08833,24920,5831.871,59688629.37362,0
1581638400000,10240.02,10299.00,10192.55,10266.95,18047.068,1581652799999,185008781.85700,36041,9213.877,94460948.08366,0
1581652800000,10266.98,10298.00,10123.37,10135.93,20337.859,1581667199999,207447217.82737,41327,9260.395,94482442.98897,0
1581667200000,10135.93,10310.00,10125.01,10279.90,29725.716,1581681599999,304276151.63418,59857,16098.683,164808641.92162,0
1581681600000,10280.15,10370.09,10233.00,10260.79,26966.085,1581695999999,277291629.03210,54500,13528.095,139123059.01684,0
1581696000000,10260.79,10388.99,10255.00,10352.09,22794.930,1581710399999,235281746.37532,45756,12205.734,125996942.82014,0
1581710400000,10352.09,10390.00,10293.00,10356.82,13104.088,1581724799999,135696439.31204,29629,6789.844,70316879.71674,0
1581724800000,10356.27,10389.75,10233.20,10289.57,19771.336,1581739199999,203703852.60600,41928,9142.378,94226182.21832,0
1581739200000,10290.85,10294.90,10203.98,10236.13,16485.223,1581753599999,169000584.00955,32135,7822.526,80196193.59089,0
1581753600000,10236.14,10288.14,10230.00,10247.03,12092.252,1581767999999,124052322.74434,24558,5980.696,61355903.84022,0
1581768000000,10247.02,10271.00,9752.30,9982.18,39694.310,1581782399999,399517588.59612,74216,16435.793,165423192.14058,0
1581782400000,9983.03,10100.00,9821.11,9905.12,55251.780,1581796799999,549535446.34327,131183,26489.101,263508030.46439,0
1581796800000,9904.90,9947.09,9884.00,9914.99,8851.226,1581811199999,87791194.07289,21914,4545.370,45081849.54074,0
1581811200000,9914.31,10060.45,9865.00,10010.91,18105.584,1581825599999,180668155.35913,37081,9146.318,91285578.80389,0
1581825600000,10010.91,10042.06,9942.00,9969.22,13486.982,1581839999999,134700908.92975,27377,6456.023,64481860.39316,0
1581840000000,9969.28,10030.02,9910.00,9934.08,15042.246,1581854399999,150025242.44725,33888,7265.908,72480583.82372,0
1581854400000,9933.24,9987.00,9832.99,9870.79,26462.554,1581868799999,262250812.24221,62853,13508.169,133887592.51244,0
1581868800000,9871.20,9921.62,9626.64,9755.57,46017.722,1581883199999,449756147.16948,107926,21447.398,209666613.45882,0
1581883200000,9755.57,10004.38,9737.62,9921.86,22432.868,1581897599999,221505708.41080,52324,11818.745,116731679.96412,0
1581897600000,9921.87,9971.00,9777.00,9821.00,22597.979,1581911999999,223014359.40310,44924,10759.802,106171739.75545,0
1581912000000,9821.00,9841.00,9720.23,9762.62,24458.666,1581926399999,239268604.63898,53825,12281.547,120153576.21231,0
1581926400000,9762.62,9844.75,9585.00,9634.54,39047.906,1581940799999,379296087.53142,88184,18310.110,177900638.16377,0
1581940800000,9634.59,9685.00,9461.89,9638.71,54052.685,1581955199999,518098406.99616,119745,25924.998,248601205.19795,0
1581955200000,9638.71,9730.00,9590.00,9674.93,28798.976,1581969599999,277919833.41636,57423,14135.059,136408703.60163,0
1581969600000,9674.64,9738.15,9614.79,9716.00,16381.967,1581983999999,158392492.50132,35392,8544.610,82645416.76824,0
1581984000000,9716.00,9765.56,9635.74,9730.47,14970.037,1581998399999,145372433.84764,35086,7703.590,74807250.59627,0
1581998400000,9730.55,9821.00,9729.44,9797.79,15740.452,1582012799999,154031551.30337,35624,7864.367,76962550.28352,0
1582012800000,9797.78,9802.59,9645.23,9712.56,23649.320,1582027199999,229844751.55811,62500,11251.624,109363135.82624,0
1582027200000,9711.84,9876.40,9598.00,9837.99,33558.670,1582041599999,326444690.72495,81271,17213.903,167546023.51334,0
1582041600000,9837.96,10060.00,9830.00,10053.00,36929.486,1582055999999,367808972.88540,85196,18852.212,187823586.53179,0
1582056000000,10053.50,10270.00,10037.76,10174.32,41271.404,1582070399999,418818213.55645,99149,21134.272,214498187.87946,0
1582070400000,10174.53,10198.88,10090.00,10158.92,17275.134,1582084799999,175205258.73113,34142,8365.698,84851385.75021,0
1582084800000,10159.77,10175.00,10037.26,10067.74,17499.600,1582099199999,176717741.92315,36358,7994.214,80732973.04626,0
1582099200000,10068.19,10228.22,10026.08,10213.01,20955.392,1582113599999,212299564.18975,47995,11221.610,113715834.82369,0
1582113600000,10213.01,10258.50,10050.00,10123.83,16831.685,1582127999999,170654862.93448,50528,7684.389,77959368.54608,0
1582128000000,10124.56,10286.00,10100.00,10150.61,25352.968,1582142399999,258351617.48977,65207,12266.573,125042961.25939,0
1582142400000,10150.61,10160.23,9293.07,9593.65,89581.148,1582156799999,868590987.57367,208305,38867.717,376639556.96206,0
1582156800000,9593.31,9654.64,9500.00,9574.11,22782.700,1582171199999,218463430.50796,54207,10230.412,98114966.12180,0
1582171200000,9574.10,9628.67,9538.00,9607.38,13462.140,1582185599999,129025399.86769,27006,7143.752,68464155.22436,0
1582185600000,9607.94,9642.00,9545.00,9572.96,19659.301,1582199999999,188662386.17247,44977,9854.968,94571651.38898,0
1582200000000,9572.96,9625.29,9523.86,9577.22,21187.677,1582214399999,202985332.34417,49325,10528.694,100858847.98791,0
1582214400000,9577.40,9700.00,9382.59,9557.06,51090.006,1582228799999,488040170.11086,124347,23749.911,226994093.38441,0
1582228800000,9557.47,9665.88,9540.92,9601.99,14923.763,1582243199999,143290624.18195,40579,7650.673,73458893.15566,0
1582243200000,9601.51,9720.00,9572.06,9709.82,15340.588,1582257599999,148046918.51350,35640,7980.983,77032443.33380,0
1582257600000,9709.86,9740.00,9651.00,9676.63,15560.330,1582271999999,150733034.32771,30856,8042.339,77917089.56474,0
1582272000000,9676.66,9724.60,9616.76,9700.19,14682.152,1582286399999,141996643.94376,34228,7509.834,72637693.31605,0
1582286400000,9700.16,9759.59,9662.86,9726.00,18263.908,1582300799999,177505959.18649,43242,8914.505,86653314.62308,0
1582300800000,9726.97,9745.00,9668.71,9687.58,12730.840,1582315199999,123634190.75445,27041,6193.988,60158817.00585,0
1582315200000,9687.59,9730.00,9547.00,9681.39,22376.470,1582329599999,216078290.82509,51932,10797.823,104308686.67602,0
1582329600000,9681.39,9710.70,9640.00,9670.56,9214.684,1582343999999,89127534.35714,19684,4343.070,42012569.50145,0
1582344000000,9670.56,9672.00,9565.00,9598.20,12777.560,1582358399999,122883273.65296,27554,5789.416,55679913.71793,0
1582358400000,9596.01,9666.66,9596.01,9640.87,9579.155,1582372799999,92285088.30518,22002,5083.166,48969159.66318,0
1582372800000,9640.87,9675.05,9616.02,9637.72,10261.766,1582387199999,99038018.34987,26193,5210.001,50284634.27718,0
1582387200000,9637.50,9690.00,9613.77,9675.44,10278.805,1582401599999,99267866.36066,26660,5494.327,53068841.15846,0
1582401600000,9675.01,9708.47,9655.00,9659.20,6307.577,1582415999999,61086443.27826,15896,3189.530,30890285.62181,0
1582416000000,9658.95,9805.00,9657.00,9793.80,9537.043,1582430399999,92740341.27561,24040,5613.587,54599966.51926,0
1582430400000,9793.80,9950.00,9793.80,9889.57,26218.655,1582444799999,259259003.76965,57351,13797.802,136436127.91450,0
1582444800000,9889.57,10018.90,9823.50,9842.16,22962.919,1582459199999,227383863.62125,52546,11686.333,115768915.57301,0
1582459200000,9842.10,9918.32,9815.25,9873.95,15790.056,1582473599999,155937112.03058,37202,7293.197,72038494.01423,0
