Kline open time,Open price,High price,Low price,Close price,Volume,Kline close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
1574812800000,146,155.66,125.03,152.52,115911.840,1574899199999,17460431.98330,13143,53283.610,8058914.34720,0
1574899200000,154.29,156.52,146.41,150.48,116824.070,1574985599999,17742043.26991,19847,26295.144,3995309.99846,0
1574985600000,150.56,157.40,150.55,154.41,167906.104,1575071999999,25824932.01289,31539,69723.600,10748626.87265,0
1575072000000,154.40,155.15,149.66,151.38,370491.615,1575158399999,56539195.08197,44923,135195.907,20639701.07087,0
1575158400000,151.38,152.50,145.50,150.65,394494.119,1575244799999,58741811.96827,46005,143318.592,21350398.60770,0
1575244800000,150.72,151.30,146.67,148.59,395630.910,1575331199999,58829106.54673,42498,145520.355,21643396.24206,0
1575331200000,148.59,149.80,145.62,147.10,495996.573,1575417599999,73434360.19026,47707,226933.611,33599124.62899,0
1575417600000,147.12,152.22,142.96,145.35,684404.817,1575503999999,100448763.87067,47342,335154.560,49189297.58557,0
1575504000000,145.36,148.88,143.77,148.04,441113.912,1575590399999,64620018.03792,31714,220098.933,32241169.28790,0
1575590400000,148.08,149.50,145.66,148.41,334645.217,1575676799999,49359338.35101,32781,168062.635,24794395.67764,0
1575676800000,148.41,149.42,146.77,147.10,239185.310,1575763199999,35392175.44071,25825,118600.823,17550916.16199,0
1575763200000,147.08,156.25,146.01,150.41,260610.870,1575849599999,38821520.15034,25401,135162.005,20147950.19243,0
1575849600000,150.41,151.15,146.55,147.37,296475.449,1575935999999,44161248.94511,26976,142571.841,21243770.64149,0
1575936000000,147.36,148.39,143.78,145.55,253852.598,1576022399999,37152298.15565,27022,120351.720,17617063.70479,0
1576022400000,142.83,142.87,142.74,142.76,158.649,1576108799999,22655.78275,33,18.538,2648.05820,0
1576108800000,143.36,145.80,139.05,144.80,372077.814,1576195199999,53279718.29956,34519,184261.465,26396736.88189,0
1576195200000,144.80,145.20,143,144.70,183068.201,1576281599999,26428341.34049,20860,87282.902,12602643.93674,0
1576281600000,144.71,144.97,141.05,141.77,187036.667,1576367999999,26688162.93104,18526,83508.190,11915035.41305,0
1576368000000,141.77,144,139.89,142.39,230729.834,1576454399999,32774496.51484,22835,111485.621,15842873.31033,0
1576454400000,142.46,142.63,128.59,132.59,553596.159,1576540799999,74937085.70597,67884,258497.378,34960147.68911,0
1576540800000,132.60,132.84,119.10,121.87,613475.540,1576627199999,77808074.34792,73757,296764.742,37655233.65939,0
1576627200000,121.90,134.75,115.95,132.74,1013697.094,1576713599999,126878213.28292,127648,520545.004,65203964.25795,0
1576713600000,132.78,133.79,125.66,128.03,637508.534,1576799999999,81427182.50507,75003,319406.269,40793195.37491,0
1576800000000,128.03,129.33,125.73,128.13,346553.796,1576886399999,44173865.86824,36582,164191.976,20932325.83249,0
1576886400000,128.13,128.52,126.50,126.99,208331.595,1576972799999,26494884.59958,26490,100017.444,12718927.84297,0
1576972800000,126.99,133.33,126.78,132.14,443907.086,1577059199999,57782448.27002,46744,225493.471,29358650.02755,0
1577059200000,132.18,135.09,126.01,127.73,698722.014,1577145599999,91842141.56236,67719,339876.665,44718263.88598,0
1577145600000,127.75,129.67,126.45,127.76,497534.945,1577231999999,63643418.56040,43791,246675.930,31557252.89345,0
1577232000000,127.72,127.83,123,125.06,455279.225,1577318399999,56922516.85419,41175,219399.642,27429243.51110,0
1577318400000,125.06,132.44,124.33,125.53,583380.778,1577404799999,74015092.19705,59409,293938.449,37311378.13843,0
1577404800000,125.53,127.06,122,126.21,567887.536,1577491199999,71062171.64403,53297,276495.098,34606388.85456,0
1577491200000,126.24,129.62,125.77,128.04,468730.855,1577577599999,59832626.86938,40944,234745.198,29965236.04578,0
1577577600000,128.02,138.25,127.50,134.28,771614.663,1577663999999,102246841.95888,65386,401061.702,53141155.11708,0
1577664000000,134.22,136.21,130.19,131.52,692165.824,1577750399999,91950597.99650,58885,334289.973,44408865.31064,0
1577750400000,131.53,133.64,128.15,129.12,647743.359,1577836799999,84614091.61629,54948,313555.875,40963892.27704,0
1577836800000,129.12,132.96,128.62,130.62,466063.929,1577923199999,61037558.40428,40168,232492.871,30446139.87524,0
1577923200000,130.63,130.75,126.25,127.11,523582.924,1578009599999,67377970.84502,47479,253840.635,32674934.35326,0
1578009600000,127.11,135.07,125.78,134.29,951123.597,1578095999999,125018928.04077,106861,486159.153,63907153.10402,0
1578096000000,134.31,135.80,132.41,134.14,509778.108,1578182399999,68153930.41227,65138,257304.840,34406351.99057,0
1578182400000,134.14,138.17,134.12,135.33,669677.687,1578268799999,91098597.42478,71080,332189.944,45185997.79727,0
1578268800000,135.32,144.38,134.82,144.04,1095147.166,1578355199999,153993462.03959,89851,565039.363,79461767.47336,0
1578355200000,144.11,145.25,138.70,142.86,963331.505,1578441599999,137384193.55172,82275,481985.847,68782673.41951,0
1578441600000,142.86,147.94,137.15,140.75,1208133.766,1578527999999,171733898.79286,117669,593769.495,84431362.93629,0
1578528000000,140.76,141.52,135.33,137.73,956864.213,1578614399999,132349219.83971,79801,460011.726,63634192.42552,0
1578614400000,137.73,145.15,135.22,144.80,908378.249,1578700799999,127143267.90469,88107,451491.742,63243003.62813,0
1578700800000,144.80,148.03,142.00,142.40,832163.204,1578787199999,119977193.63432,83777,400748.783,57809841.35838,0
1578787200000,142.40,146.60,141.71,146.57,630256.911,1578873599999,90941158.24868,63661,329084.039,47490278.22387,0
1578873600000,146.57,147.00,142.32,143.58,558655.672,1578959999999,80266745.59378,55178,279441.457,40161070.63786,0
1578960000000,143.57,171.00,143.49,165.77,2169559.414,1579046399999,342187335.94531,200718,1093708.213,172392113.33496,0
